[2025-01-11 19:23:26,699 :INFO: main :Logging is implemented]
[2025-01-11 22:18:27,900 :INFO: common :yaml file:config\config.yaml loaded succesfully]
[2025-01-11 22:18:27,908 :INFO: common :yaml file:params.yaml loaded succesfully]
[2025-01-11 22:19:49,169 :INFO: common :yaml file:config\config.yaml loaded succesfully]
[2025-01-11 22:19:49,171 :INFO: common :yaml file:params.yaml loaded succesfully]
[2025-01-11 22:19:49,174 :INFO: common :Created directory at:artifacts]
[2025-01-11 22:19:49,176 :INFO: common :Created directory at:artifacts/data_ingestion]
[2025-01-11 22:21:24,166 :INFO: common :yaml file:config\config.yaml loaded succesfully]
[2025-01-11 22:21:24,169 :INFO: common :yaml file:params.yaml loaded succesfully]
[2025-01-11 22:21:24,169 :INFO: common :Created directory at:artifacts]
[2025-01-11 22:21:24,178 :INFO: common :Created directory at:artifacts/data_ingestion]
[2025-01-11 22:21:28,445 :INFO: 148206930 :File is downloaded]
[2025-01-11 22:39:57,227 :INFO: main :stage Data Ingestion stageinitiated]
[2025-01-11 22:39:57,227 :INFO: common :yaml file:config\config.yaml loaded succesfully]
[2025-01-11 22:39:57,231 :INFO: common :yaml file:params.yaml loaded succesfully]
[2025-01-11 22:39:57,233 :INFO: common :Created directory at:artifacts]
[2025-01-11 22:39:57,233 :INFO: common :Created directory at:artifacts/data_ingestion]
[2025-01-11 22:40:06,191 :INFO: data_ingestion :File is downloaded]
[2025-01-11 22:40:06,359 :INFO: main :Stage Data Ingestion stage Completed]
